,id,person_mbti,mbti_test,character,movie
442,67,INFJ,"Cognitive functions self-typing + Sakinorva (16p.com IS ***NOT*** RELIABLE, therefore I am wary of this survey's legitimacy)",Jack Sparrow,Pirates of the Caribbean
192,67,INFJ,"Cognitive functions self-typing + Sakinorva (16p.com IS ***NOT*** RELIABLE, therefore I am wary of this survey's legitimacy)",Trinity,The Matrix
317,67,INFJ,"Cognitive functions self-typing + Sakinorva (16p.com IS ***NOT*** RELIABLE, therefore I am wary of this survey's legitimacy)",John Wick,John Wick
67,67,INFJ,"Cognitive functions self-typing + Sakinorva (16p.com IS ***NOT*** RELIABLE, therefore I am wary of this survey's legitimacy)",Morticia Addams,The Addams Family
443,68,ESTP,16Personalities,Flynn Rider,Tangled
68,68,ESTP,16Personalities,Regina George,Mean Girls
193,68,ESTP,16Personalities,Nick Wilde,Zootopia
318,68,ESTP,16Personalities,Ken,The Barbie Movie
69,69,ENFP,16Personalities,Miles Morales,Into the Spider-Verse
444,69,ENFP,16Personalities,Captain Jack Sparrow,Pirates of the Caribbean: At World's End
319,69,ENFP,16Personalities,Officer K,Blade Runner 2049
194,69,ENFP,16Personalities,John Wick,John Wick
320,70,ISTP,Cognitive functions self-typing,megara,hercules
445,70,ISTP,Cognitive functions self-typing,alice,alice in wonderland
195,70,ISTP,Cognitive functions self-typing,merida,brave
70,70,ISTP,Cognitive functions self-typing,flynn rider,tangled
571,71,ESTJ,Cognitive functions self-typing,Billy Loomis,Scream
196,71,ESTJ,Cognitive functions self-typing,Galvatron,Transformers: The Movie
71,71,ESTJ,Cognitive functions self-typing,John Kramer,Saw
446,71,ESTJ,Cognitive functions self-typing,Freddy Krueger,Nightmare on Elm Street
321,71,ESTJ,Cognitive functions self-typing,Sweeney Todd,Sweeney Todd: Demon-barber from Fleet Street
447,72,INTJ,Truity,Margot,The Menu
72,72,INTJ,Truity,Newt,Maze Runner
197,72,INTJ,Truity,Elsa,Frozen
322,72,INTJ,Truity,Wade,Elementals
73,73,ENFP,Cognitive functions self-typing,Tony Stark,Iron Man
448,73,ENFP,Cognitive functions self-typing,Neo,The Matrix
198,73,ENFP,Cognitive functions self-typing,Harley Quinn,Suicide Squad
323,73,ENFP,Cognitive functions self-typing,Fleur,The Way We Dance
324,74,INTP,16Personalities,Dr. Emmett Brown,Back to the Future
199,74,INTP,16Personalities,Alan Turing,The Imitation Game
74,74,INTP,16Personalities,Luna Lovegood,Harry Potter
449,74,INTP,16Personalities,Veronica,Heathers
325,75,INTJ,16Personalities,Quincy Powell,Juice
450,75,INTJ,16Personalities,Ave,Primer
200,75,INTJ,16Personalities,Q,James Bond
75,75,INTJ,16Personalities,Simon Tam,Serenity
326,76,ISTJ,Truity,Nanami,Jujutsu Kaisen
451,76,ISTJ,Truity,Frollo,The Hunchback of Notre Dame
201,76,ISTJ,Truity,Tiana,Princess and the Frog
76,76,ISTJ,Truity,President Snow,Hunger Games 
576,76,ISTJ,Truity,Scar,The Lion King
1077,77,INTJ,I used several sites to ensure that it was consistent.,Dolores Claiborne,Delores Claiborne
1202,77,INTJ,I used several sites to ensure that it was consistent.,Butch,Dog Pound
77,77,INTJ,I used several sites to ensure that it was consistent.,Beau Wassermann,Beau is Afraid
577,77,INTJ,I used several sites to ensure that it was consistent.,Marty Puccio,Bully
827,77,INTJ,I used several sites to ensure that it was consistent.,Martin Matthias,Martin
452,77,INTJ,I used several sites to ensure that it was consistent.,Dawn Davenport,Female Trouble
202,77,INTJ,I used several sites to ensure that it was consistent.,Karl Childers,Sling Blade
702,77,INTJ,I used several sites to ensure that it was consistent.,Carrie White,Carrie
952,77,INTJ,I used several sites to ensure that it was consistent.,Mike Waters,My Own Private Idaho
327,77,INTJ,I used several sites to ensure that it was consistent.,Annie Graham,Hereditary
578,78,ENFJ,"16 personalities, Michael caloz, enneagram, truity ",Amelie Poulain,Amelie
703,78,ENFJ,"16 personalities, Michael caloz, enneagram, truity ",Moana Waialiki,Moana
328,78,ENFJ,"16 personalities, Michael caloz, enneagram, truity ",Peter Quill,Guardians of the Galaxy Vol. 2
78,78,ENFJ,"16 personalities, Michael caloz, enneagram, truity ",Thor Odinson,Thor:Ragnarok
453,78,ENFJ,"16 personalities, Michael caloz, enneagram, truity ",Joel Barish,Eternal Sunshine of the Spotless Mind
203,78,ENFJ,"16 personalities, Michael caloz, enneagram, truity ",Captain America,Avengers:End Game
329,79,INFP,16Personalities,Weird Barbie,Barbie
79,79,INFP,16Personalities,Susanna,"Girl, Interrupted"
204,79,INFP,16Personalities,Westley,The Princess Bride
454,79,INFP,16Personalities,Sam,Stuck in Love
330,80,INFP,16Personalities,Stephen Strange,Doctor Strange
80,80,INFP,16Personalities,Hannibal Lecter,The Silence of the Lambs
580,80,INFP,16Personalities,Mr Poppy,Nativity
455,80,INFP,16Personalities,Miranda Priestly,The Devil Wears Prada
705,80,INFP,16Personalities,Hermione Granger,Harry Potter and the Sorcerer's Stone
205,80,INFP,16Personalities,Bucky Barnes,Captain America: The Winter Soldier
206,81,ISFP,16Personalities,Peter Parker,The Amazing Spider-Man
81,81,ISFP,16Personalities,Nimona,Nimona
456,81,ISFP,16Personalities,Kronk,The Emperor's New Groove
331,81,ISFP,16Personalities,Gwen Stacy,Spider-Man: Into the Spider-Verse
332,82,INFP,16Personalities,Darth Vader,Star Wars III: Revenge of the Sith
82,82,INFP,16Personalities,Severus Snape,Harry Potter: the Half-Blood Prince
457,82,INFP,16Personalities,Sauron,Lord of the Rings: the Fellowship of the Ring
207,82,INFP,16Personalities,John Wick,John Wick
208,83,INFP,can't remember,Luna Lovegood,Harry Potter
83,83,INFP,can't remember,Lux Lisbon,The Virgin Suicides
458,83,INFP,can't remember,Carrie White,Carrie
333,83,INFP,can't remember,Carol Ledoux,Repulsion
334,84,ESTJ,16Personalities,Mr Darcy (the Colin Firth version) , Pride and Prejudice 
459,84,ESTJ,16Personalities,Choi Woo Shik , Parasite
84,84,ESTJ,16Personalities,Daniel Henney, Seducing Mr Perfect
209,84,ESTJ,16Personalities,The main Korean guy , Past Lives
460,85,ENFJ,I truly dont remember now and dont want to answer falsely,Happy Gilmore,Happy Gilmore
85,85,ENFJ,I truly dont remember now and dont want to answer falsely,Dr. Horrible,Dr. Horribles Sing Along Blog
210,85,ENFJ,I truly dont remember now and dont want to answer falsely,White Knight,Alice In Wonderland 1999 TV Movie
335,85,ENFJ,I truly dont remember now and dont want to answer falsely,Ulysses Everett McGill,"O Brother, where art thou?"
86,86,INFJ,16Personalities, The Unicorn , The Last Unicorn
211,86,INFJ,16Personalities,Star , American Honey
336,86,INFJ,16Personalities,Ricky Fitts , American Beauty
461,86,INFJ,16Personalities,Charlotte , Lost in Translation
337,87,ISFJ,16Personalities,Rambo,rambo
87,87,ISFJ,16Personalities,Cogo,starzinger
587,87,ISFJ,16Personalities,Thor,thor
212,87,ISFJ,16Personalities,Daniel Jackson,stargate sg1
462,87,ISFJ,16Personalities,Jack sparrow,pirates of carribian
213,88,INTP,16Personalities,Ripley,Alien
463,88,INTP,16Personalities,Neo,The matrix
338,88,INTP,16Personalities,Ash,evil dead
588,88,INTP,16Personalities,Rico,starship troopers 
88,88,INTP,16Personalities,V,V for vendetta 
214,89,INTP,16Personalities,Natasha Romanov,Avenger's End Game (all Marvel movies tbf)
89,89,INTP,16Personalities,Aragorn,The Lord of the Rings
464,89,INTP,16Personalities,Captain Klenzendorf,Jojo Rabbit
339,89,INTP,16Personalities,Enola Holmes,Enola Holmes
215,90,INTP,16Personalities,Emmet,Lego Movie
340,90,INTP,16Personalities,Thanos,Avengers: Infinity War
465,90,INTP,16Personalities,Dr. Facilier,Princess and the Frog
590,90,INTP,16Personalities,Miranda Priestly,The Devil Wears Prada
715,90,INTP,16Personalities,Immortan Joe,Mad Max: Fury Road
90,90,INTP,16Personalities,Hannibal Lecter,Silence of the Lambs
341,91,ENFJ,michaelcaloz.com,Inigo Montoya , Princess Bride
91,91,ENFJ,michaelcaloz.com,Ferris Bueller , Ferris Bueller's Day Off
466,91,ENFJ,michaelcaloz.com,Mercutio , Romeo + Juliet
216,91,ENFJ,michaelcaloz.com,Daphne , Some Like it Hot
342,92,ENFP,16Personalities,Anna, Frozen
92,92,ENFP,16Personalities,Jo March,Litlle Women
467,92,ENFP,16Personalities,Clementine, Eternal Sunshine of the Spotless Mind
217,92,ENFP,16Personalities,Louisa Clark,Me Before You
343,93,ISFP,I forgot :( sorry marco,Alex,"Red, White & Royal Blue"
468,93,ISFP,I forgot :( sorry marco,Henry,"Red, White & Royal Blue"
218,93,ISFP,I forgot :( sorry marco,Suzume,Suzume
93,93,ISFP,I forgot :( sorry marco,Taki,Your Name
469,94,INFP,16Personalities,Otto,A man called otto
344,94,INFP,16Personalities,Evelyn,Salt
94,94,INFP,16Personalities,Ishaan,Like stars on earth
219,94,INFP,16Personalities,Merida,Merida
720,95,INFP,16Personalities,Ursula,kiki's delivery service 
220,95,INFP,16Personalities,estella miller,cruella
595,95,INFP,16Personalities,kevin khatchadourian,we need to talk about kevin
345,95,INFP,16Personalities,flynn mcgarry,chef flynn
95,95,INFP,16Personalities,ben solo,the last jedi
845,95,INFP,16Personalities,loki laufeyson,thor
470,95,INFP,16Personalities,willy wonka,charlie and the chocolate factory 
1220,95,INFP,16Personalities,mulan,mulan
1095,95,INFP,16Personalities,felonious gru,despicable me
970,95,INFP,16Personalities,colette tatou,ratatouille
221,96,ENTP,Cognitive functions self-typing,Megamind,Megamind
96,96,ENTP,Cognitive functions self-typing,Lord Shen,Kung Fu Panda 2
471,96,ENTP,Cognitive functions self-typing,Cyn,Murder Drones
346,96,ENTP,Cognitive functions self-typing,Miles Morales,Into the Spiderverse
222,97,ESTJ,Truity,Aragorn,Lord of the Rings
97,97,ESTJ,Truity,Superman,Superman (1978)
472,97,ESTJ,Truity,Obi-Wan Kenobi,Star Wars Episode 3
347,97,ESTJ,Truity,Lt Dan Taylor,Forrest Gump
223,98,INFJ,16Personalities,Susan Pevensie,"Chronicles of Narnia: The Lion, The Witch, and The Wardrobe"
723,98,INFJ,16Personalities,Patrick Stewart,The Perks of Being a Wallflower
973,98,INFJ,16Personalities,Jasmine,Alladin (Disney)
1223,98,INFJ,16Personalities,Hector Rivera,Coco
98,98,INFJ,16Personalities,Richie Tozier,IT (2017)
473,98,INFJ,16Personalities,Sirius Black,Harry Potter and Order of the Phoenix
1098,98,INFJ,16Personalities,Peter B. Parker,Spiderman: Into the Spiderverse
848,98,INFJ,16Personalities,Albert Narracott,War Horse
598,98,INFJ,16Personalities,"Murphy ""Murph"" Cooper",Interstellar
348,98,INFJ,16Personalities,Legolas,Lord of the Rings
474,99,INFJ,academic setting - MBTI test,Jeriba,Enemy Mine
99,99,INFJ,academic setting - MBTI test,Yoda,Empire Strikes Back
349,99,INFJ,academic setting - MBTI test,Theoden,The Two Towers
224,99,INFJ,academic setting - MBTI test,Rick Blaine,Casablanca
100,100,INFJ,16Personalities,Hermoine,Harry Potter
225,100,INFJ,16Personalities,Darcy,Pride and prejudice
475,100,INFJ,16Personalities,Will traynor,Me before you
350,100,INFJ,16Personalities,Anastasia,Anastasia
351,101,INFP,16Personalities,Violet Evergarden,Violet Evergarden: The Movie
226,101,INFP,16Personalities,The Female,Under the Skin
601,101,INFP,16Personalities,Izzy,Izzy Gets the Fuck Across Town
476,101,INFP,16Personalities,Alita,Alita: Battle Angel
101,101,INFP,16Personalities,Chloe Beale,Pitch Perfect
726,101,INFP,16Personalities,Megan Walsh,Barely Lethal
477,102,ISTP,Sakinorva,Eric Draven,The Crow (1994)
102,102,ISTP,Sakinorva,Postal Dude,Postal (2007)
227,102,ISTP,Sakinorva,John McClane,Die Hard (1988)
352,102,ISTP,Sakinorva,Rick Deckard,Blade Runner (1982)
103,103,ISTP,16Personalities,Captain Jack Sparrow,Pirates of the Carribean: The Curse of the Black Pearl
478,103,ISTP,16Personalities,Harry Callahan,Dirty Harry
228,103,ISTP,16Personalities,Jason Bourne,The Bourne Identity
353,103,ISTP,16Personalities,Credence Barebone,Fantastic Beasts and Where to Find Them
229,104,INFJ,Cognitive functions self-typing,Forrest Gump,Forrest Gump
604,104,INFJ,Cognitive functions self-typing,Wyborne (Wybie) Lovat,Coraline
479,104,INFJ,Cognitive functions self-typing,Elizabeth Anne Sanders,Buffy The Vampire Slayer
354,104,INFJ,Cognitive functions self-typing,Jack Skellington,Nightmare Before Christmas
104,104,INFJ,Cognitive functions self-typing,Nina Sayers,Black Swan
480,105,ENTJ,16Personalities,Bucky Barnes,Captain America 2
730,105,ENTJ,16Personalities,Sirius Black,Harry Potter
605,105,ENTJ,16Personalities,Flynn Rider,Rapunzel
355,105,ENTJ,16Personalities,Willy Wonka,Wonka
105,105,ENTJ,16Personalities,Jack Sparrow,Pirates of the Caribbean
230,105,ENTJ,16Personalities,Nick Wilde,Zootopia
855,105,ENTJ,16Personalities,Edmund Pevensie,The Chronicles of Narnia
106,106,INFP,michaelcaloz.com,Dale Cooper,Fire walk with me
481,106,INFP,michaelcaloz.com,Ashitaka,Princess Mononoke
231,106,INFP,michaelcaloz.com,Paul Atreides,Dune
356,106,INFP,michaelcaloz.com,Vito Corleone,The Godfather
232,107,ENTJ,16Personalities,Mary Poppins,Mary Poppins
107,107,ENTJ,16Personalities,Amy March,Little Women (2019)
482,107,ENTJ,16Personalities,Emma Woodhouse,Emma (2020)
1107,107,ENTJ,16Personalities,Sharpay Evans,High School Musical
357,107,ENTJ,16Personalities,Princess Leia,Star Wars
607,107,ENTJ,16Personalities,Tom Hagen,The Godfather
1232,107,ENTJ,16Personalities,Eliza Doolittle,My Fair Lady
982,107,ENTJ,16Personalities,Emperor Palpatine,Star Wars
732,107,ENTJ,16Personalities,Kiki,Kiki’s Delivery Service
857,107,ENTJ,16Personalities,Captain Amelia,Treasure Planet
858,108,INFP,Sakinorva,John Wick, same name
108,108,INFP,Sakinorva,Harry Potter, HP
1233,108,INFP,Sakinorva,Batman, The Batman 
983,108,INFP,Sakinorva,Indiana Jones, same name
233,108,INFP,Sakinorva,Spike Spiegel, Cowboy Bebop
608,108,INFP,Sakinorva,Scar, Lion King
483,108,INFP,Sakinorva,Rango, Rango
1108,108,INFP,Sakinorva,Darth Vader, Star Wars
358,108,INFP,Sakinorva,Sirius Black, HP
733,108,INFP,Sakinorva,Rocky, Rocky
609,109,ESTP,Cognitive functions self-typing,Kurt and Ram,Heathers (the movie)
109,109,ESTP,Cognitive functions self-typing,Ken,The Barbie Movie
234,109,ESTP,Cognitive functions self-typing,Hans,Frozen 2
359,109,ESTP,Cognitive functions self-typing,Draco Malfoy,Harry Potter movies
484,109,ESTP,Cognitive functions self-typing,Jillian Holtzmann,Ghostbusters (reboot)
1235,110,ESTJ,16Personalities,Hades,Hercules
360,110,ESTJ,16Personalities,Joker,The Dark Knight
735,110,ESTJ,16Personalities,Dr. Frank-N-Furter,The Rocky Horror Picture Show
610,110,ESTJ,16Personalities,Tony Stark,The Avengers
485,110,ESTJ,16Personalities,Batman,The Dark Knight
235,110,ESTJ,16Personalities,Loki,The Avengers
985,110,ESTJ,16Personalities,Magenta,The Rocky Horror Picture Show
860,110,ESTJ,16Personalities,Riff Raff,The Rocky Horror Picture Show
1110,110,ESTJ,16Personalities,Scar,The Lion King
110,110,ESTJ,16Personalities,Hannibal Lecter,The Silence of the Lambs
361,111,ENTJ,16Personalities,Noah Calhoun,The Notebook
236,111,ENTJ,16Personalities,J. Robert Oppenheimer,Oppenheimer
486,111,ENTJ,16Personalities,Mitsuha and Taki,Your Name
111,111,ENTJ,16Personalities,Tony Stark,Iron Man 3
612,112,ENTP,Cognitive functions self-typing,Percy Jackson,Percy Jackson And The Lightning Thief
362,112,ENTP,Cognitive functions self-typing,Bunny,Yeh Jawaani Hai Deewani
237,112,ENTP,Cognitive functions self-typing,Olive Pendergast,Easy A
112,112,ENTP,Cognitive functions self-typing,Harley Quinn,birds of prey
737,112,ENTP,Cognitive functions self-typing,Batman,Batman (2022)
487,112,ENTP,Cognitive functions self-typing,Captain America,Captain America 
988,113,ENFJ,16Personalities,Dorothy,The Wizard of Oz
1113,113,ENFJ,16Personalities,Inigo Montoya,The Princess Bride
363,113,ENFJ,16Personalities,Mikey,Goonies
738,113,ENFJ,16Personalities,Samwise Gamgee,Lord of The Rings
1238,113,ENFJ,16Personalities,Professor MacGonagall,Harry Potter and the Sorceror's Stone
238,113,ENFJ,16Personalities,Westley,The Princess Bride
488,113,ENFJ,16Personalities,Indiana Jones,Raiders of the Lost Ark
613,113,ENFJ,16Personalities,Princess Leia Organa,Star Wars
113,113,ENFJ,16Personalities,Maria Von Trapp,The Sound of Music
863,113,ENFJ,16Personalities,Caractacus Potts,Chitty Chitty Bang Bang
239,114,ENFJ,16Personalities,Mulan,Mulan
364,114,ENFJ,16Personalities,Chris Gardner,Pursuit of Happiness
489,114,ENFJ,16Personalities,Andrea Sachs,Devil Wears Prada
114,114,ENFJ,16Personalities,Marilou,Barber's Tales
115,115,ESFP,Cognitive functions self-typing,Ki-jung,Parasite
740,115,ESFP,Cognitive functions self-typing,Asuka Langley,The End of Evangelion
615,115,ESFP,Cognitive functions self-typing,Clementine,Eternal Sunshine of the Spotless Mind
365,115,ESFP,Cognitive functions self-typing,Remy,Ratatouille
240,115,ESFP,Cognitive functions self-typing,Wallace Wells,Scott Pilgrim vs. the World
490,115,ESFP,Cognitive functions self-typing,Christine McPherson,Lady Bird
366,116,ENFJ,all,Holly Golightly,Breakfast at Tiffanys
241,116,ENFJ,all,Jenna,13 Going on 30
616,116,ENFJ,all,Patrick,10 Things I Hate about You
491,116,ENFJ,all,Lena,Sisterhood of the Traveling Pants
116,116,ENFJ,all,Allie,The Notebook
741,116,ENFJ,all,Evie Zamora,Thirteen
866,116,ENFJ,all,Jack Sparrow,Pirates of the Caribbean
1117,117,ENTJ,Cognitive functions self-typing,Mary Darling,Peter Pan 2003
117,117,ENTJ,Cognitive functions self-typing,Tsu’tey te Rongloa Ateyitan,Avatar
367,117,ENTJ,Cognitive functions self-typing,Oliver Wood,Wizarding World franchise
242,117,ENTJ,Cognitive functions self-typing,Hobart “Spider-Punk” Brown,Spider-Man: Across the Spider-Verse
867,117,ENTJ,Cognitive functions self-typing,"Leticia ""Letty"" Ortiz",The Fast and the Furious
1242,117,ENTJ,Cognitive functions self-typing,Jane Eyre,Jane Eyre
742,117,ENTJ,Cognitive functions self-typing,"O-ren Ishii ""Cottonmouth""",Kill Bill
617,117,ENTJ,Cognitive functions self-typing,Galadriel,The Lord of the Rings
492,117,ENTJ,Cognitive functions self-typing,"Anthony ""Thin Man""",Charlie's Angels
992,117,ENTJ,Cognitive functions self-typing,Abraham Sapien,Hellboy
493,118,ISFJ,16Personalities,Robert McCall,Equalizer
118,118,ISFJ,16Personalities,Iron Man,Avengers
618,118,ISFJ,16Personalities,Liam Neeson,Taken
368,118,ISFJ,16Personalities,John Wick,John Wick
243,118,ISFJ,16Personalities,Rick O'Connell,The Mummy
744,119,INTJ,16Personalities,Rick O'Connell,The Mummy
119,119,INTJ,16Personalities,Uncle Fester,Addams Family
619,119,INTJ,16Personalities,Zuse,Tron: Legacy
244,119,INTJ,16Personalities,Jareth,Labyrinth
369,119,INTJ,16Personalities,Jack Sparrow,Pirates of the Caribbean
494,119,INTJ,16Personalities,Cameron Frye,Ferris Bueller's Day Off
120,120,ISFP,16Personalities,Ip Man,Ip Man
620,120,ISFP,16Personalities,Gandalf,Lord Of The Rings
370,120,ISFP,16Personalities,Dolores,Encanto
245,120,ISFP,16Personalities,Tin Tin,The Adventures Of Tin Tin
495,120,ISFP,16Personalities,Captain America,MCU
121,121,ISTP,16Personalities,Katniss Everdeen,The Hunger Games
621,121,ISTP,16Personalities,Peter Quill,Guardians of the Galaxy
371,121,ISTP,16Personalities,Colt Seavers,The Fall Guy
496,121,ISTP,16Personalities,The Big Friendly Giant,The BFG
246,121,ISTP,16Personalities,Tony Stark,Avengers
247,122,ESFJ,16Personalities,Neville Longbottom,Harry Potter
122,122,ESFJ,16Personalities,Jack Sparrow,Pirates of the Carribean
497,122,ESFJ,16Personalities,Tony Stark, Iron Man
372,122,ESFJ,16Personalities,Joker,Batman the Dark Knight
498,123,ESTJ,Cognitive functions self-typing,Terminator (Arnold Schwarzenegger) , terminator 3 
123,123,ESTJ,Cognitive functions self-typing,Severus Snape , Harry Potter 
248,123,ESTJ,Cognitive functions self-typing,Yoda , star wars 
373,123,ESTJ,Cognitive functions self-typing,Kiri , avatar 2 
374,124,ENFP,michaelcaloz.com,Eraserhead Baby,Eraserhead
749,124,ENFP,michaelcaloz.com,Agent Smith,The Matrix
249,124,ENFP,michaelcaloz.com,Daniel Plainview,There Will Be Blood
874,124,ENFP,michaelcaloz.com,Patrick Bateman,American Psycho
499,124,ENFP,michaelcaloz.com,The Duke,Fear and Loathing in Las Vegas
624,124,ENFP,michaelcaloz.com,Uta,One Piece Film: Red
124,124,ENFP,michaelcaloz.com,Miles Morales,Spider-Verse (Series)
